Code,Name,Lon,Lat,Alt,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Anual
1300006,Central Chapiquia,-69.5481,-18.3722,3350,34.276,41.038,21.252,2.519,0.157,0.365,1.57,0.295,0.085,0.17,0.25,10.46,111.81
1300007,Belen,-69.5167,-18.4669,3240,36.29,40.771,18.786,1.143,0.39,0.39,1.46,0.34,0.57,0.46,0.69,8.23,108.943
1300008,Tignamar,-69.4939,-18.5811,3230,31.867,33.49,15.114,1.524,1.019,0.5,2.07,0.18,0.675,0.31,0.175,8.89,95.205
1300009,Rio Ticnamar En Angostura,-69.5656,-18.5133,3010,15.61,15.314,7.557,1.114,0.733,0.155,2.08,0.07,0.225,0.195,0.135,3.205,46.105
1310018,Arica Oficina,-70.3208,-18.4775,20,1.152,1.848,0.424,0.01,0.005,0.045,0.525,0.535,0.015,0,0.005,0.1,4.605
1310019,Azapa,-70.1806,-18.5156,365,1.1,1.824,0.433,0,0.005,0.045,0.515,0.47,0.08,0,0.005,0.1,4.519
1310022,El Buitre Aerodromo,-70.2842,-18.5119,110,1.071,1.814,0.495,0.024,0.043,0.07,0.575,0.485,0.21,0.025,0.02,0.11,4.871
1410012,Codpa,-69.7439,-18.8322,1870,3.214,3.886,1.633,0.138,0.057,0.015,0.41,0,0.01,0,0,0.235,9.567
1502007,Esquia,-69.5328,-18.9417,2170,9.095,10.967,6.176,1.033,0.029,0.06,1.05,0.125,0.025,0.005,0,0.445,28.929
1502008,Rio Camarones En Chilpe,-69.6197,-18.9431,1565,2.995,4.276,1.595,0.105,0.014,0.01,0.48,0.02,0.025,0.005,0,0.19,9.681
158317,SUSAPAYA,-70.13333,-17.351,3356,43.2,57.795,26.59,2.505,1.738,0.63,3.11,1.115,1.86,1.425,1.42,12.605,152.938
158318,SITAJARA,-70.13556,-17.3725,3166,35.476,44.133,23.557,1.976,1.414,0.54,1.94,0.905,1.61,0.985,1.205,11.255,124.119
158321,PALCA,-69.96583,-17.77917,3023,15.314,20.519,10.195,0.343,0.714,0.095,1.26,0.27,0.965,0.405,0.215,4.705,54.624
158325,TOQUELA,-69.94889,-17.66083,3650,41.195,45.133,23.424,2.276,1.914,0.5,1.95,1,1.96,1.14,0.58,11.945,132.11
158326,CAPAZO,-69.7355,-17.18772,4530,120.576,127.467,67.31,22.381,2.638,2.18,4.37,5.42,2.645,8.52,16.705,69.01,444.038
158327,CHALLAPALCA,-69.81306,-17.23722,4190,112.467,124.381,79.805,17.448,2.667,2.375,3.67,4.67,1.5,5.095,16.57,51.825,418.39
158328,PAUCARANI,-69.77944,-17.525,4625,100.095,106.471,58.314,13.171,2.757,1.87,2.045,3.62,1.9,5.585,6.565,37.825,337.39
1610004,Q_ Camia 3 Km_ A_ Arriba De Tarcavire,-69.2447,-19.1181,3848,25.429,28.538,14.262,2.076,2.833,0.98,2.96,0.275,0.065,0.085,0.27,5.155,82.462
1611001,Camia,-69.4172,-19.3136,2500,3.162,4.505,1.59,0.319,0.048,0.07,0.345,0.08,0.005,0.005,0,0.39,10.476
1646113023,Punta Patache,-70.136,-20.842,858,1.133,1.748,0.933,0.429,0.552,0.5,1.535,1.135,1.075,0.425,0.33,0.595,10.124
1646113402,Salar de Huasco,-68.873,-20.257,3804,36.324,53.019,18.662,3.248,1.438,1.415,2.315,0.385,0.275,0.075,0.96,8.92,126.352
