Code,Name,Lon,Lat,Alt,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Anual
3820004,Santa Juana,-70.6625,-28.6672,560,0.062,0.076,0.486,0.805,1.605,2.115,3.16,1.975,0.395,0.37,0.01,0,10.676
3823003,Vallenar Dga,-70.7397,-28.5861,420,0.062,0,0.557,0.786,1.671,2.08,3.2,2.005,0.53,0.37,0.01,0,10.881
3823004,La Compaia (Vallenar),-70.8081,-28.5761,430,0.014,0,0.552,0.843,1.638,2.17,3.1,2.075,0.44,0.47,0.01,0.01,10.929
3825004,Freirina,-71.0806,-28.5072,100,0.014,0,0.471,0.571,1.414,2.17,3,2.105,0.435,0.42,0.01,0,10.224
3826003,Huasco Bajo,-71.1931,-28.4725,50,0.014,0,0.533,0.567,1.381,2.06,3.02,2.05,0.41,0.445,0.01,0,10.11
3940001,Domeiko,-70.8936,-28.9544,780,0.014,0.057,0.471,0.529,1.433,2.33,3.035,2.045,0.445,0.51,0.01,0,10.481
4120001,El Trapiche,-71.1181,-29.3731,300,0.033,0,0.857,0.181,2.029,5.58,5.48,5.19,0.76,1.81,0.02,0,21.043
4306002,Huanta,-70.3847,-29.8478,1240,0.481,0.152,1.619,1.5,5.59,7.565,9.165,6.85,1.86,1.97,0.445,0.1,35.967
BL0420,Charaña _ A,-69.4485,-17.5912,4074,80.671,89.257,38.948,11.605,1.357,2.92,4.765,4.81,2.445,5.745,7.69,35.28,282.462
BL0431,Conchamarca,-67.4572,-17.3781,3965,6.438,4.514,2.043,0.681,0.19,0.135,0.225,0.21,1.055,0.8,0.915,2.945,19.852
BL0462,San Jose Alto,-67.7786,-17.7044,3746,104.424,88.724,49.705,17.1,4.581,3.81,6.91,9.035,16.22,22.2,22.405,58.365,396.862
BL0501,Andamarca,-67.5167,-18.7667,3676,71.467,70.986,37.2,8.119,2.114,2.405,3.54,2.19,6.815,6.765,8.685,35.775,252.91
BL0502,Cabaña Forestal Oruro,-67.08,-17.9719,3706,63.419,58.071,22.371,5.4,1.69,1.325,2.01,0.675,1.61,3.94,4.005,20.48,183.376
BL0508,Cosapa,-68.7064,-18.1778,3917,103.714,92.29,57.981,21.062,10.524,6.13,9.79,6.69,12.37,22.66,28.945,67.715,432.524
BL0510,Curahuara de Carangas,-68.4164,-17.8425,3906,100.605,80.124,55.952,9.257,5.962,2.08,4.295,2.695,4.105,5.38,8.685,43.875,319.629
BL0511,Huayllamarca,-67.9397,-17.8356,3852,96.938,74.605,45.024,13.819,5.552,2.13,3.935,3.365,11.84,12.835,15.905,53.865,334.867
BL0513,Opoqueri,-67.8992,-18.5364,3806,122.2,109.652,60.895,17.476,5.481,4.645,1.575,2.18,18.07,17.375,17.005,69.2,439.562
BL0514,Orinoca,-67.2644,-18.9719,3797,69.819,66.233,29.79,9.5,3.848,1.635,3.86,2.275,7.77,9.145,9.625,41.28,251.181
BL0515,Oruro _ Aeropuerto,-67.0797,-17.9528,3701,228.662,216.905,103.019,37.624,8.81,7.575,9.38,7.62,23.03,32.745,32.095,136.99,832.576
BL0519,San Martin,-67.6011,-19.2761,3732,101.686,89.114,57.876,21.967,6.59,5.695,6.19,10.38,19.6,25.085,26.25,74.94,437.367
BL0521,Ucumasi,-67.4247,-19.1306,3763,74.214,68.943,34.433,10.586,3.252,3.915,4.455,2.49,9.17,11.345,13.545,55.24,286.819
BL1003,Apacheta,-67.8053,-22.4403,5040,98.938,126.4,68.933,3.395,8.776,2.32,9.06,9.955,3.625,2.385,8.225,23.235,362.448
BL1013,Colcha K,-67.6583,-20.7367,3780,107.948,129.924,54.724,8.4,9.414,2.35,6.075,4.395,3.51,4.635,10.01,40.73,378.7
BLM00085201,El Alto Intl,-68.192,-16.513,4062,123.224,105.857,69.371,28.367,9.357,3.95,6.585,7.755,23.23,34.27,34.735,90.52,527.648
BLM00085242,Juan Mendoza,-67.076,-17.963,3702,97.943,87.238,47.419,17.852,4.786,3.25,3.87,4.08,13.09,20.4,21.635,67.22,382.424
PEM00084782,Coronel Carlos Ciriani Santa,-70.276,-18.053,469,1.243,2.1,0.824,0.148,0.143,0.49,0.835,1.31,0.985,0.15,0.17,0.505,8.69
